證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
1071	華電國際電力股份	华电国际电力股份
1072	東方電氣	东方电气
1073	大禹金融	大禹金融
1075	首都信息	首都信息
1079	松景科技	松景科技
1080	勝利管道	胜利管道
1082	源宇宙教育	源宇宙教育
1083	港華智慧能源	港华智慧能源
1084	綠新生物科技	绿新生物科技
1085	亨鑫科技	亨鑫科技
1086	好孩子國際	好孩子国际
1087	威訊控股	威讯控股
1088	中國神華	中国神华
1090	大明國際	大明国际
1091	南方錳業	南方锰业
1093	石藥集團	石药集团
1094	承輝國際	承辉国际
1097	有線寬頻	有线宽频
1098	路勁	路劲
1099	國藥控股	国药控股
1100	飛達控股	飞达控股
1101	華榮能源	华荣能源
1102	環能國際	环能国际
1104	亞太資源	亚太资源
1105	星島	星岛
1107	當代置業	当代置业
1108	凱盛新能	凯盛新能
1109	華潤置地	华润置地
1110	金活醫藥集團	金活医药集团
1111	華視集團控股	华视集团控股
1112	H&H國際控股	H&H国际控股
1113	長實集團	长实集团
1114	BRILLIANCE CHI	BRILLIANCE CHI
1115	5100藏冰川	5100藏冰川
1116	慧源同創科技	慧源同创科技
1117	現代牧業	现代牧业
1118	高力集團	高力集团
1119	創夢天地	创梦天地
1120	雅視光學	雅视光学
1121	金陽新能源	金阳新能源
1122	慶鈴汽車股份	庆铃汽车股份
